esb_idx,jakarta_idx,brandName_esb,branchName_esb,latitude_esb,longitude_esb,brandName_jakarta,nama_restoran_jakarta,latitude_jakarta,longitude_jakarta,distance_m,name_similarity,token_overlap,match_confidence,match_reason
6943,24427, iskandar,Nasi Iskandar Kemang,-6.275,106.821, iskandar kemang,Nasi isKandar Kemang,-6.275,106.821,0.0,0.709,0.5,0.95,exact_location_moderate_name
6915,63571, goreng,Nasi goreng,-6.117,106.88, goreng dewi,Nasi Goreng Dewi,-6.117,106.88,0.0,0.712,0.5,0.95,exact_location_moderate_name
6576,21949,minang bersaudara,Minang Bersaudara,-6.314,106.804,minang bersaudara  andara,Minang Bersaudara - Andara,-6.314,106.804,0.0,0.815,0.667,0.95,exact_location_moderate_name
8128,13707,ramen ya,Ramen YA! X Sushi YA Gajah Mada,-6.161,106.818,gokana ramen  teppan,Gokana Ramen & Teppan,-6.161,106.818,0.0,0.256,0.0,0.5,second_pass_relaxed
6562,34916,mienta bakmi,Mienta Bakmi - Taman Alfa Jakarta,-6.257,106.781,mienta bakmi  pondok indah,MIeNTA Bakmi - Pondok Indah,-6.257,106.781,0.0,0.695,0.5,0.95,exact_location_moderate_name
6554,54182, pedes aa,Mie Pedes AA Kasir 2,-6.116,106.884, pedes aa    dimsum,Mie Pedes AA (Mie Ayam & Dimsum),-6.116,106.884,0.0,0.775,0.667,0.95,exact_location_moderate_name
8133,15447,ramen ya,Ramen YA! Green Pramuka Square,-6.189,106.874,gokana ramen  teppan green pramuka square,Gokana Ramen & Teppan Green Pramuka square,-6.189,106.874,0.0,0.145,0.0,0.5,second_pass_relaxed
6521,56863, gacoan,1175.TJPGUN,-6.132,106.831, gacoan   gunung sahari,Mie Gacoan Jakarta - Gunung Sahari,-6.132,106.831,0.0,0.572,0.333,0.95,exact_location_moderate_name
8114,62809,ramen ya,Ramen Ya! Mall Sunter,-6.138,106.871,gokana ramen  teppan,Gokana ramen & teppan,-6.138,106.871,0.0,0.256,0.0,0.5,second_pass_relaxed
6519,9730, gacoan,1166.GGPPAN,-6.188,106.768, gacoan   kedoya,Mie Gacoan Jakarta - Kedoya,-6.188,106.768,0.0,0.689,0.5,0.95,exact_location_moderate_name
6495,24001, bandung kejaksaan 1964,MBK1964 Cilandak,-6.292,106.797,mbk 1964  cilandak   bandung kejaksaan 1964 ,MBK 1964 - Cilandak ( Mie Bandung Kejaksaan 1964 ),-6.292,106.797,0.0,0.753,0.6,0.95,exact_location_moderate_name
6485,16157,  lvina,Mie Ayam L'Vina,-6.202,106.844,  lvina,Mie Ayam L'vina,-6.202,106.844,0.0,1.0,1.0,0.95,exact_location_moderate_name
6466,39067,   barokah tole wonogiri,MIE AYAM BAKSO BAROKAH TOLE WONOGIRI,-6.22,106.903,   barokah,Mie Ayam Bakso Barokah,-6.22,106.903,0.0,0.583,0.333,0.95,exact_location_moderate_name
6437,20559,meradelima ,MERADELIMA RESTO,-6.24,106.805,meradelima,Meradelima,-6.24,106.805,0.0,1.0,1.0,0.95,exact_location_moderate_name
6436,58221,meogbang korean bbq,Meogbang Korean BBQ Sunter,-6.144,106.87,meogbang korean bbq,Meogbang Korean BBQ,-6.144,106.87,0.0,1.0,1.0,0.95,exact_location_moderate_name
6434,30553,menya sakura,Menya Sakura Kota Kasablanka,-6.222,106.842,menya sakura  kota kasablanka,Menya Sakura Mall Kota Kasablanka,-6.222,106.842,0.0,0.68,0.5,0.95,exact_location_moderate_name
6499,44768, bandung kejaksaan 1964,MBK1964 Jatiwaringin,-6.255,106.909,mibk 1964  jatiwaringin   bandung kejaksaan 1964 ,MiBK 1964 - Jatiwaringin ( Mie Bandung Kejaksaan 1964 ),-6.255,106.909,0.0,0.737,0.6,0.95,exact_location_moderate_name
8110,26905,ramen sanpachi 38 kemang,Ramen 38 Sanpachi Kemang,-6.256,106.81,saladstop  kemang,Saladstop! - Kemang,-6.256,106.81,0.0,0.23,0.0,0.5,second_pass_relaxed
6782,25647,mr roastman,MR ROASTMAN SARINAH,-6.241,106.799,mr roastman  m bloc,Mr Roastman - M Bloc,-6.241,106.799,0.0,0.728,0.5,0.95,exact_location_moderate_name
6787,12226,mr park living ,MR. PARK-  LIVING PLAZA,-6.189,106.738,mr park living  ,Mr Park Living Plaza Puri,-6.189,106.738,0.0,1.0,1.0,0.95,exact_location_moderate_name
6907,15385,  kumis  sumur batu,Nasi Bebek Kumis - Sumur Batu,-6.166,106.872, bersih berkah sumur batu,"Ayam Bersih Berkah, Sumur Batu",-6.166,106.872,0.0,0.34,0.5,0.6,relaxed_wide_net
6904,2541,  tanjung duren,Nasi Ayam Tanjung Duren,-6.174,106.784,tanjung duren,Tanjung Duren,-6.174,106.784,0.0,1.0,1.0,0.95,exact_location_moderate_name
6900,27446,  ori ampera,NASI AYAM ORI AMPERA,-6.286,106.818,  ori ampera,"Nasi Ayam ORI, Ampera",-6.286,106.818,0.0,1.0,1.0,0.95,exact_location_moderate_name
6892,35608,  ori,NASI AYAM ORI CIPETE,-6.291,106.795,  ori cipete,"Nasi Ayam ORI, Cipete",-6.291,106.795,0.0,0.638,0.5,0.95,exact_location_moderate_name
6887,10420,  ori,Nasi Ayam Ori PALMERAH,-6.201,106.786,  ori palmerah,"Nasi Ayam Ori, Palmerah",-6.201,106.786,0.0,0.62,0.5,0.95,exact_location_moderate_name
6866,614,nasgorin,Nasgorin Taman Surya,-6.132,106.705,nasgorin taman surya,Nasgorin Taman Surya,-6.132,106.705,0.0,0.605,0.333,0.95,exact_location_moderate_name
6847,23514,nasgero,NASGERO SCBD,-6.227,106.807, goreng bang gero nasgero,Nasi Goreng Bang Gero (NASGERO),-6.227,106.807,0.0,0.535,0.25,0.95,exact_location_moderate_name
6845,21316,nasgero,NASGERO CILANDAK,-6.287,106.8,nasgero cilandak  goreng bang gero asli medan nyesssdimulut,"Nasgero, Cilandak (Nasi Goreng Bang Gero Asli Medan) #NyesssDimulut",-6.287,106.8,0.0,0.415,0.125,0.85,close_contains_match
6832,360,nam heong,Nam Heong Mall Of Indonesia,-6.19,106.739,nam heong   ,Nam Heong Lippo Mall Puri,-6.19,106.739,0.0,1.0,1.0,0.95,exact_location_moderate_name
6825,31398,nainai hot pot,NaiNai Hot Pot,-6.281,106.82,nainai hot pot,NaiNai Hot Pot,-6.281,106.82,0.0,1.0,1.0,0.95,exact_location_moderate_name
6821,50720,nagasaki,Nagasaki Bento,-6.117,106.858,nagasaki bento,Nagasaki Bento,-6.117,106.858,0.0,0.718,0.5,0.95,exact_location_moderate_name
6809,24107,my  o,MY KOPI-O! CILANDAK TOWN SQUARE,-6.292,106.8,my  o  citos,My Kopi O! - Citos,-6.292,106.8,0.0,0.738,0.667,0.95,exact_location_moderate_name
8018,34937, sodexo  jis,SODEXO,-6.284,106.789,sate madura jis,Sate Madura JIS,-6.284,106.789,0.0,0.244,0.0,0.5,second_pass_relaxed
6794,20364,muhi   ,MUHI. PONDOK INDAH,-6.267,106.769,muhi   ,MUHI. Eatery & Coffee,-6.267,106.769,0.0,1.0,1.0,0.95,exact_location_moderate_name
6922,21886, goreng bapalo,NASI GORENG BAPALO POLTANGAN,-6.3,106.849, goreng bapalo  jagakarsa,NASI GORENG BAPALO - JAGAKARSA,-6.3,106.849,0.0,0.783,0.667,0.95,exact_location_moderate_name
6424,1476,menoo,MENOO,-6.219,106.755,menoo  joglo,MENOO - JOGLO,-6.219,106.755,0.0,0.688,0.5,0.95,exact_location_moderate_name
7510,47479,pappa jack,PAPPA JACK,-6.118,106.857,pappa jack,Pappa Jack,-6.118,106.857,0.0,1.0,1.0,0.95,exact_location_moderate_name
7520,47042,paradise dynasty,Paradise Dynasty Central Market PIK,-6.091,106.746,paradise dynasty pik,Paradise Dynasty PIK,-6.091,106.746,0.0,0.833,0.667,0.95,exact_location_moderate_name
8092,9068,raja minang,Raja Minang,-6.165,106.779, padang raja minang,Nasi Padang Raja Minang,-6.165,106.779,0.0,0.794,0.667,0.95,exact_location_moderate_name
8082,43472,raffels sandwich,Raffel's Sandwich Kalimalang,-6.247,106.909,raffels sandwich kalimalang,Raffel's Sandwich Kalimalang,-6.247,106.909,0.0,0.79,0.667,0.95,exact_location_moderate_name
8078,20606,raffels sandwich,Raffel's Sandwich Pondok Indah Mal 2,-6.266,106.783,raffels sandwich pondok indah  2,Raffel's Sandwich Pondok Indah Mall 2,-6.266,106.783,0.0,0.664,0.4,0.95,exact_location_moderate_name
8077,72,raffels sandwich,Raffel's Sandwich Citra Garden 8,-6.122,106.696,raffels sandwich citra garden 8,Raffel's Sandwich Citra Garden 8,-6.122,106.696,0.0,0.664,0.4,0.95,exact_location_moderate_name
7082,13519,neo 88,NEO 88,-6.155,106.849,bakmi harum 88 mgk kemayoran,BAKMI HARUM 88 MGK KEMAYORAN,-6.155,106.849,0.0,0.12,0.0,0.5,second_pass_relaxed
8005,4196,psy steamboat yakiniku,PSY STEAMBOAT YAKINIKU KEBON JERUK,-6.21,106.771,psy steamboat yakiniku kebon jeruk,PSY Steamboat Yakiniku Kebon Jeruk,-6.21,106.771,0.0,0.776,0.6,0.95,exact_location_moderate_name
8100,20187,ramen for the soul,Ramen For The Soul,-6.239,106.808,ramen for the soul wolter monginsidi,Ramen For The Soul (Wolter Monginsidi),-6.239,106.808,0.0,0.767,0.667,0.95,exact_location_moderate_name
7986,20526,pot boy aru,POT BOY ARU,-6.245,106.798,pot boy aru,Pot Boy Aru,-6.245,106.798,0.0,1.0,1.0,0.95,exact_location_moderate_name
7929,18609,pondok rangi,Pondok Rangi Rawasari,-6.188,106.864,pondok rangi    rawasari,PONDOK RANGI RESTO & COFFEE RAWASARI,-6.188,106.864,0.0,0.785,0.667,0.95,exact_location_moderate_name
7922,38697,pokpok my crispy snack,Pokpok My Crispy Snack - Mall Bassura,-6.224,106.878,pok pok crispy snack,Pok Pok Crispy Snack,-6.224,106.878,0.0,0.403,0.5,0.6,relaxed_wide_net
7915,23716,pochajjang,Pochajjang Tebet,-6.229,106.856,pochajjang tebet,POCHAJJANG Tebet,-6.229,106.856,0.0,0.731,0.5,0.95,exact_location_moderate_name
7116,1904,nian pio arang palem,Nian pio arang palem ,-6.13,106.716,sate taichan nyotnyot taman palem,Sate Taichan Nyot-Nyot Taman Palem,-6.13,106.716,0.0,0.22,0.0,0.5,second_pass_relaxed
7888,62849,pizza marzano,PM SUNTER MALL,-6.138,106.868,dominos pizza,Domino's Pizza,-6.138,106.868,0.0,0.249,0.5,0.6,relaxed_wide_net
7134,47424,nix ktv pik,NIX KTV PIK,-6.123,106.741,bakmi bintang gading pik,Bakmi Bintang Gading PIK,-6.123,106.741,0.0,0.17,0.0,0.5,second_pass_relaxed
7930,788,pondok rangi,Pondok Rangi Taman Ratu,-6.17,106.769,pondok rangi taman ratu,Pondok Rangi Taman Ratu,-6.17,106.769,0.0,0.706,0.5,0.95,exact_location_moderate_name
8103,1421,ramen level up,Ramen Level Up - Meruya,-6.211,106.738,ramen level up meruya,Ramen Level Up Meruya,-6.211,106.738,0.0,0.84,0.75,0.95,exact_location_moderate_name
8126,61009,ramen ya,Ramen Ya X Sushi Ya Emporium ,-6.127,106.791,ramen ya  pluit,Ramen YA! Emporium Pluit,-6.127,106.791,0.0,0.785,0.667,0.95,exact_location_moderate_name
8134,7294,ramen ya,Ramen Ya Green Sedayu Mall,-6.139,106.729,ramen ten ten,Ramen Ten Ten,-6.139,106.729,0.0,0.305,0.5,0.6,relaxed_wide_net
8510,19055,remboelan,Remboelan Grand Indonesia,-6.195,106.821,remboelan   ,Remboelan - Grand Indonesia,-6.195,106.821,0.0,1.0,1.0,0.95,exact_location_moderate_name
8509,20418,remboelan,Remboelan Gandaria City,-6.245,106.784,remboelan  gandaria city,Remboelan - Gandaria City,-6.245,106.784,0.0,0.602,0.333,0.95,exact_location_moderate_name
8508,24000,remboelan,Remboelan Cilandak Town Square,-6.291,106.8,remboelan citos,Remboelan Citos,-6.291,106.8,0.0,0.725,0.5,0.95,exact_location_moderate_name
8507,11240,remboelan,Remboelan Central Park,-6.177,106.791,remboelan,REMBOELAN,-6.177,106.791,0.0,1.0,1.0,0.95,exact_location_moderate_name
8332,18207,reddog,REDDOG SUMUR BATU,-6.161,106.867,reddog sumur batu kemayoran,Reddog Sumur Batu Kemayoran,-6.161,106.867,0.0,0.509,0.25,0.95,exact_location_moderate_name
6961,42814, kepal nusantara  condet,Nasi Kepal Nusantara - Condet,-6.276,106.861,et veteran pizza condet,Et Veteran Pizza Condet,-6.276,106.861,0.0,0.227,0.0,0.5,second_pass_relaxed
8323,20610,reddog,REDDOG PONDOK INDAH MALL 1,-6.266,106.785,reddog pondok indah  1,Reddog Pondok Indah Mall 1,-6.266,106.785,0.0,0.533,0.25,0.95,exact_location_moderate_name
8314,44353,reddog,REDDOG CITY PLAZA JATINEGARA,-6.214,106.864,reddog city  jatinegara,REDDOG City Plaza Jatinegara,-6.214,106.864,0.0,0.562,0.333,0.95,exact_location_moderate_name
8304,34102,reddog,REDDOG KEBAYORAN PARK MALL,-6.238,106.764,reddog  kebayoran park,Reddog - Kebayoran Park,-6.238,106.764,0.0,0.567,0.333,0.95,exact_location_moderate_name
8303,1102,reddog,REDDOG PURI INDAH MALL,-6.189,106.733,reddog   indah ,Reddog - Puri Indah mall,-6.189,106.733,0.0,0.7,0.5,0.95,exact_location_moderate_name
8299,55851,reddog,REDDOG EMPORIUM,-6.127,106.791,reddog   ,Reddog - Emporium Mall,-6.127,106.791,0.0,1.0,1.0,0.95,exact_location_moderate_name
8255,10784,rejuve,Re.juve RS Harapan Kita,-6.185,106.798,rejuve rsab harapan kita,Rejuve RSAB Harapan Kita,-6.185,106.798,0.0,0.52,0.25,0.95,exact_location_moderate_name
8166,20373,rantang ,Rantang Restaurant,-6.296,106.799,rantang ,Rantang Restaurant,-6.296,106.799,0.0,1.0,1.0,0.95,exact_location_moderate_name
7019,18442, uduk  pecel plus,Nasi uduk & pecel plus,-6.17,106.87, uduk dan  kuning mba sri,Nasi uduk dan nasi kuning mba sri,-6.17,106.87,0.0,0.183,0.0,0.5,second_pass_relaxed
8153,23652,ramerame ramen,RAMERAME R,-6.222,106.833,ramerame ramen  festival,RameRame Ramen Plaza Festival,-6.222,106.833,0.0,0.794,0.667,0.95,exact_location_moderate_name
7886,1136,pizza marzano,PM LIPPO MALL PURI,-6.188,106.739,eat pizza    ,Eat Pizza - Lippo Mall Puri,-6.188,106.739,0.0,0.27,0.5,0.6,relaxed_wide_net
7515,2546,paradise dynasty,Paradise Dynasty Central Park,-6.176,106.791,paradise dynasty  central park,Paradise Dynasty - Central Park,-6.176,106.791,0.0,0.713,0.5,0.95,exact_location_moderate_name
7264,52134,ohana bbq 2,Ohana Bbq 2,-6.103,106.741,mitarik laiker pantjoran pik 2,Mitarik Laiker Pantjoran PIK 2,-6.103,106.741,0.0,0.145,0.0,0.5,second_pass_relaxed
7839,29962,pizza boxx,PIZZA BOXX LENTENG AGUNG,-6.318,106.837,pizza boxx,Pizza boxx,-6.318,106.837,0.0,1.0,1.0,0.95,exact_location_moderate_name
7661,18552,penyetan cok,^JAKARTA GREEN PRAMUKA SQUARE,-6.19,106.874,penyetan cok green pramuka square,Penyetan Cok Green Pramuka Square,-6.19,106.874,0.0,0.62,0.4,0.95,exact_location_moderate_name
7654,32111,penyetan cok,PENCOK PEJATEN ,-6.28,106.829,penyetan cok  the park pejaten,Penyetan Cok - The Park Pejaten,-6.28,106.829,0.0,0.636,0.4,0.95,exact_location_moderate_name
7653,40445,penyetan cok,PENCOK KRAMAT JATI,-6.271,106.869,penyetan cok kramat jati,"Penyetan Cok, Kramat Jati",-6.271,106.869,0.0,0.7,0.5,0.95,exact_location_moderate_name
7635,13815,penyetan cok,^JAKARTA PLAZA ATRIUM SENEN,-6.177,106.841,penyeton cok,Penyeton Cok,-6.177,106.841,0.0,0.408,0.5,0.6,relaxed_wide_net
7624,1369,penang ,Penang Restaurant Puri,-6.185,106.736,penang  ,Penang Restaurant Puri,-6.185,106.736,0.0,1.0,1.0,0.95,exact_location_moderate_name
7622,38982,pempek zerin,Pempek Zerin - Cipinang,-6.222,106.886,pempek zerin  cipinang jaya,Pempek Zerin - Cipinang Jaya,-6.222,106.886,0.0,0.689,0.5,0.95,exact_location_moderate_name
7698,58599,pepper lunch,Pepper Lunch Artha Gading,-6.146,106.892,pepper lunch   artha gading,Pepper Lunch - Mall Artha Gading,-6.146,106.892,0.0,0.695,0.5,0.95,exact_location_moderate_name
7608,16156,pempek megaria,Pempek Megaria Pegangsaan,-6.2,106.844,pempek megaria,Pempek Megaria,-6.2,106.844,0.0,1.0,1.0,0.95,exact_location_moderate_name
7580,542,pearl dimsum,Pearl Dimsum,-6.151,106.714,pearl dimsum daan mogot,Pearl Dimsum Daan Mogot,-6.151,106.714,0.0,0.706,0.5,0.95,exact_location_moderate_name
7573,53593,pawon bule,Pawon Bule,-6.135,106.868,pawon bule,Pawon Bule,-6.135,106.868,0.0,1.0,1.0,0.95,exact_location_moderate_name
7558,14353,paul,PAUL PLAZA INDONESIA,-6.226,106.799,paul   senayan,PAUL Bakery Plaza Senayan,-6.226,106.799,0.0,0.65,0.5,0.95,exact_location_moderate_name
7555,25237,pattypals,PattyPals,-6.252,106.798,pattypals,Pattypals,-6.252,106.798,0.0,1.0,1.0,0.95,exact_location_moderate_name
7541,21550,paris sorbet,Paris Sorbet Blok M,-6.245,106.798,paris sorbet,Paris Sorbet,-6.245,106.798,0.0,1.0,1.0,0.95,exact_location_moderate_name
7538,19227,paris ,Paris Bistro,-6.217,106.815,paris ,Paris Bistro,-6.217,106.815,0.0,1.0,1.0,0.95,exact_location_moderate_name
7583,22772,pecel lele dobleng 99,Pecel Lele Dobleng 99,-6.337,106.81,pecel lele,pecel lele,-6.337,106.81,0.0,0.694,0.5,0.95,exact_location_moderate_name
7701,211,pepper lunch,Pepper Lunch Central Park,-6.178,106.79,pepper lunch  central park,Pepper Lunch - Central Park,-6.178,106.79,0.0,0.695,0.5,0.95,exact_location_moderate_name
7702,24101,pepper lunch,Pepper Lunch Cilandak Town Square,-6.292,106.8,pepper lunch cilandak town square,Pepper Lunch Cilandak Town Square,-6.292,106.8,0.0,0.62,0.4,0.95,exact_location_moderate_name
7708,14248,pepper lunch,Pepper Lunch Grand Indonesia,-6.195,106.82,pepper lunch  ,Pepper Lunch Grand Indonesia,-6.195,106.82,0.0,1.0,1.0,0.95,exact_location_moderate_name
7833,27705,pizza boxx,PIZZA BOXX KAHFI SRENGSENG SAWAH,-6.356,106.81,pizza boxx,Pizza Boxx,-6.356,106.81,0.0,1.0,1.0,0.95,exact_location_moderate_name
7829,21669,pison pondok indah,Pison Pondok Indah Online,-6.284,106.79,pison pondok indah,Pison Pondok Indah,-6.284,106.79,0.0,1.0,1.0,0.95,exact_location_moderate_name
7824,39785,pisang rajo,Pisang Rajo Rawamangun,-6.198,106.892,pisang nugget rajo,PISANG NUGGET RAJO,-6.198,106.892,0.0,0.494,0.667,0.75,token_overlap_close
7801,19143,pisang madu pasti,PISANG MADU PASTI - BENHILL,-6.207,106.811,pisang madu pasti,Pisang Madu Pasti,-6.207,106.811,0.0,1.0,1.0,0.95,exact_location_moderate_name
7766,6,pigcasso,Pigcasso Puri Kembangan,-6.184,106.753,pigcasso  kembangan,Pigcasso Puri Kembangan,-6.184,106.753,0.0,0.685,0.5,0.95,exact_location_moderate_name
7734,51676,pertamilk  nias,Pertamilk Kelapa Gading Nias,-6.154,106.917,  gading nias,Soto Mie Gading Nias,-6.154,106.917,0.0,0.301,0.5,0.6,relaxed_wide_net
7730,30483,pepr,PEPR.,-6.222,106.791,pepr,PEPR.,-6.222,106.791,0.0,1.0,1.0,0.95,exact_location_moderate_name
7727,14226,pepper lunch,Pepper Lunch Plaza Atrium Senen,-6.177,106.841,pepper lunch millenium  ,Pepper Lunch Millenium Mall Jakarta,-6.177,106.841,0.0,0.778,0.667,0.95,exact_location_moderate_name
7726,21465,pepper lunch,Pepper Lunch Aeon Tanjung Barat,-6.306,106.84,pepper lunch  æon  tanjung barat,Pepper Lunch - ÆON Mall Tanjung Barat,-6.306,106.84,0.0,0.631,0.4,0.95,exact_location_moderate_name
7724,4493,pepper lunch,Pepper Lunch Taman Anggrek,-6.179,106.793,pepper lunch  taman anggrek,Pepper Lunch Mall Taman Anggrek,-6.179,106.793,0.0,0.689,0.5,0.95,exact_location_moderate_name
